ID;Label
591;Alice Doesn't Live Here Anymore
592;Wild at Heart
593;National Lampoon's Christmas Vacation
594;Monument Ave.
595;Gunfight at the O.K. Corral
596;The Devil's Disciple
597;Atlantic City
598;Sorry, Wrong Number
599;Vera Cruz
600;The Osterman Weekend
601;His Majesty O'Keefe
602;Ulzana's Raid
603;Come Back, Little Sheba
604;Airport
605;The Skulls
606;Timeline
607;The Fast and the Furious
608;Cats & Dogs
609;Â¡Three Amigos!
610;An American Tail: Fievel Goes West
611;The Brave Little Toaster
612;Matilda
613;Happiness
614;Mr. Destiny
615;Enigma
616;Quintet
617;Lenny
618;Armed and Dangerous
619;Heavy Metal
620;Stripes
621;1941
622;Bulldog Drummond's Secret Police
623;Suspicion
624;Spellbound
625;K-19: The Widowmaker
626;That Was Then... This Is Now
627;Revenge of the Nerds II: Nerds in Paradise
628;Orange County
629;Detroit Rock City
630;Cabin Fever
631;Peter Pan
632;The 5,000 Fingers of Dr. T
633;Porky's
634;Only When I Laugh
635;Witchfinder General
636;Pulp Fiction
637;Swing Kids
638;Key Largo
639;The Ten Commandments
640;Viva Villa!
641;Phantom of the Opera
642;Cobra
643;Alien Nation
644;The Order
645;Affliction
646;Maverick
647;Candy
648;Face to Face
649;Wild Strawberries
650;Twister
651;Endless Love
652;Crossroads
653;The Man Who Wasn't There
654;That's Dancing!
655;New York, New York
656;Cabaret
657;Cul-de-Sac
658;Vacation
659;Nothing Lasts Forever
660;Riding the Bullet
661;The Serpent's Egg
662;Downfall
663;The Real McCoy
664;Spartan
665;Top Gun
666;Top Secret!
667;Tombstone
668;Red Planet
669;East is East
670;Mangal Pandey: The Rising
671;The Temptations
672;The Preacher's Wife
673;The Brothers
674;My Boyfriend's Back
675;The Emperor's Club
676;Longshot
677;The Rock
678;Frequency
679;The Thin Red Line
680;The Count of Monte Cristo
681;Pay It Forward
682;Collateral
683;Live from Baghdad
684;King Arthur
685;Lara Croft Tomb Raider: The Cradle of Life
686;History Is Made at Night
687;Three Colors: Red
688;Anastasia
689;Dr. Dolittle 2
690;What's Eating Gilbert Grape
691;Jabberwocky
692;Morgan: A Suitable Case for Treatment
693;Doctor Dolittle
694;Oliver Twist
695;Where the Heart Is
696;Mermaids
697;Mask
698;Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean
699;El Norte
700;By Dawn's Early Light
701;St. Elmo's Fire
702;Bad News Bears
703;Mo' Better Blues
704;Alive
705;Crimson Tide
706;Pii±ero
707;Catwoman
708;Demolition Man
709;Robin Hood: Men in Tights
710;Cocoon
711;Cocoon: The Return
712;Vampires
713;Rugrats Go Wild!
714;The Flintstones
715;Stagecoach
716;The Hurricane
717;Wilson
718;Stigmata
719;Pirates of the Caribbean: The Curse of the Black Pearl
720;Pirates of the Caribbean: Dead Man's Chest
721;Barbarians at the Gate
722;What a Girl Wants
723;Brazil
724;About Last Night
725;Ghost
726;Striptease
727;The Hunchback of Notre Dame
728;BAADASSSSS!
729;Ali
730;Rappin'
731;Somewhere in Time
732;My Best Friend's Wedding
733;The Librarian
734;Private's Progress
735;Victim
736;I'm All Right Jack
737;Oh... Rosalinda!!
738;Madame X
739;Peyton Place
740;Ice Age
741;Romeo + Juliet
742;Moulin Rouge!
743;Revenge
744;Carlito's Way
745;Super Mario Bros.
746;Short Circuit
747;The Rose
748;Music Box
749;Car Wash
750;Bill & Ted's Bogus Journey
751;Bill & Ted's Excellent Adventure
752;Jersey Girl
753;A Christmas Carol
754;Goodbye, Mr. Chips
755;The Killing Fields
756;The Messenger: The Story of Joan of Arc
757;Making Mr. Right
758;Caligula
759;What's New Pussycat?
760;Ratatouille
761;Lawrence of Arabia
762;Murphy's War
763;Human Nature
764;The Replacements
765;Vanity Fair
766;Elizabeth: The Golden Age
767;Austin Powers:The Spy Who Shagged Me
768;Les Diaboliques
769;Ship of Fools
770;Sniper
771;Caveman
772;The Alamo
773;F/X
774;Something's Gotta Give
775;Sleeper
776;Marvin's Room
777;The Godfather Part III
778;Xanadu
779;That's Entertainment!
780;China O'Brien
781;Sneakers
782;Garfield
783;Thief
784;K-9
785;Porky's Duck Hunt
786;Pigs Is Pigs
787;I Haven't Got a Hat
788;It's a Mad, Mad, Mad, Mad World
789;Elizabeth
790;Intermission
791;Trainspotting
792;P.S.
793;Gothic
794;Into the West
795;Ghost Ship
796;The Keep
797;Point of No Return
798;Dungeons & Dragons
799;Sense and Sensibility
800;The Phantom of the Opera
801;Dante's Peak
802;The Longest Day
803;Ocean's Eleven
804;Ginger Snaps 2: Unleashed
805;National Lampoon's Last Resort
806;Heaven's Gate
807;Strange Days
808;Armageddon
809;What's the Worst That Could Happen?
810;Contact
811;Pearl Harbor
812;The Producers
813;What's Up, Doc?
814;Fargo
815;Major League
816;Heist
817;Fail-Safe
818;Willard
819;Charlie's Angels
820;Vision Quest
821;Gross Anatomy
822;Star Wars Episode IV: A New Hope
823;Star Wars Episode VI: Return of the Jedi
824;Star Wars Episode V: The Empire Strikes Back
825;Robotech: The Shadow Chronicles
826;Batman: Mask of the Phantasm
827;Piccadilly
828;The Thief of Bagdad
829;Shanghai Express
830;Dick Tracy
831;The X Files
832;Dirty Rotten Scoundrels
833;Mr. Holland's Opus
834;Eulogy
835;Heaven Knows, Mr. Allison
836;Edward, My Son
837;Hitch
838;Kiss of Death
839;Now, Voyager
840;House Party
841;Book of Shadows: Blair Witch 2
842;Boys Town
843;My Family
844;E.T. the Extra-Terrestrial
845;[[Voodoo Academy]]
846;The Manchurian Candidate
847;Darling
848;Night Watch
849;Celine et Julie vont En Bateau
850;Grease
851;The People vs. Larry Flynt
852;Pokamon: Lucario and the Mystery of Mew
853;Pokamon: Jirachi Wishmaker
854;Pokamon: Destiny Deoxys
855;Henry V
856;Mona Lisa
857;The Green Berets
858;The Searchers
859;Rio Grande
860;In Harm's Way
861;McLintock!
862;Donovan's Reef
863;El Dorado
864;Waterloo
865;The Cruel Sea
866;Cats Don't Dance
867;Wall Street
868;The Firm
869;Julia
870;Tales from the Darkside: The Movie
871;Crush
872;Peter's Friends
873;Under the Tuscan Sun
874;Unfaithful
875;Ladies and Gentlemen, The Fabulous Stains
876;Terminator 2: Judgment Day
877;Bottle Rocket
878;In the Time of the Butterflies
879;Police Academy
880;Police Academy 2: Their First Assignment
881;Dodgeball: A True Underdog Story
882;The Craft
883;Party Girl
884;The Contender
885;Minority Report
886;Independence Day
887;Jurassic Park
888;The Fly
889;Planet of the Apes
890;Daredevil
891;Antitrust
892;Doctor Who
893;Lady Caroline Lamb
894;Kingdom of Heaven
895;Atlantis: Milo's Return
896;Sink the Bismarck!
897;The Farmer's Daughter
898;Pinky
899;Blackadder: Back & Forth
900;Lost Horizon
901;Project X
902;Top Hat
903;Dirty Pretty Things
904;Mr. Saturday Night
905;Jacob's Ladder
906;Romeo and Juliet
907;Final Fantasy VII: Advent Children
908;Addicted to Love
909;Bad Boys
910;Aces High
911;Rugrats in Paris: The Movie
912;In & Out
913;Buffy the Vampire Slayer
914;Don't Look Now
915;Fallen
916;Outbreak
917;Backdraft
918;Panic
919;Six Degrees of Separation
920;Cross Creek
921;Percy
922;The Boys from Brazil
923;King Rat
924;Gone in Sixty Seconds
925;Rock Star
926;The Big One
927;Roger & Me
928;Fahrenheit 9/11
929;Fahrenheit 9/11Â½
930;Bad Girls
931;Point Break
932;Singles
933;Under Siege 2: Dark Territory
934;Ararat
935;Problem Child
936;King David
937;Tadpole
938;The Dreamer of Oz: The L. Frank Baum Story
939;It
940;King of Kings
941;The Singing Detective
942;Rush Hour
943;Taxi
944;Sphere
945;The Muppets' Wizard of Oz
946;Knife in the Water
947;Philadelphia
948;That Thing You Do!
949;Radio Flyer
950;Full Frontal
951;Hot Shots! Part Deux
952;Blank Check
953;Dumb & Dumber
954;Sabrina
955;The Fiendish Plot of Dr. Fu Manchu
956;Nirvana
957;Boiler Room
958;Heaven
959;Lost in Translation
960;House of Wax
961;Jaws
962;1984
963;Pillow Talk
964;Perfect Strangers
965;Cape Fear
966;Uranus
967;Delicatessen
968;Beethoven's 2nd
969;The Funeral
970;Wizards
971;Flesh & Blood
972;My Blue Heaven
973;Die Hard: With a Vengeance
974;Clue
975;What's Love Got to Do with It
976;Heavy Weights
977;Amy Stiller's Breast
978;Fame
979;Labyrinth
980;Lost in Space
981;Gandhi
982;All the Queen's Men
983;Quadrophenia
984;Homeward Bound: The Incredible Journey
985;Atlantis: The Lost Empire
986;Bongwater
987;Black and White
988;What the #$*! Do We Know!?
989;"From Time to Time"/"De Temps en Temps"
990;Topaz
991;Divine Intervention
992;The Philadelphia Experiment
993;Genevieve
994;Walker
995;Sweet Dreams
996;Agent Cody Banks 2: Destination London
997;Snake Eyes
998;The League of Gentlemen
999;For Love of the Game
1000;The Bourne Supremacy
1001;Rushmore
1002;Rob Roy
1003;The Bourne Identity
1004;The Secret Garden
1005;Oh! What a Lovely War
1006;Stage Fright
1007;The Dam Busters
1008;Fanboys
1009;Cliffhanger
1010;Manhattan Project
1011;Obsession
1012;2010: The Year We Make Contact
1013;Howards End
1014;Imagining Argentina
1015;Junior
1016;Sahara
1017;Cellular
1018;Sabretooth
1019;Behind Enemy Lines
